"m49code","Year","total_mig","top_ordered","mig_perc"
28,1990,"12029","Dominica, Guyana, Montserrat","18.03556435"
28,1995,"17550","Guyana, Dominica, Jamaica","23.83895462"
28,2000,"23071","Guyana, Dominica, Jamaica","27.60217266"
28,2005,"24741","Guyana, Dominica, Jamaica","27.72007664"
28,2010,"26412","Guyana, Dominica, Jamaica","27.90167017"
28,2015,"28083","Guyana, Dominica, Jamaica","28.10464057"
28,2017,"28646","Guyana, Dominica, Jamaica","28.08101008"
12,1990,"273954","Western.Sahara, Sudan, Germany","1.057232633"
12,1995,"262032","Western.Sahara, Somalia, Sudan","0.906550299"
12,2000,"250110","Western.Sahara, Somalia, Iraq","0.802054666"
12,2005,"197422","Western.Sahara, Somalia, Iraq","0.593064793"
12,2010,"216964","Western.Sahara, Somalia, Iraq","0.600714825"
12,2015,"239473","Western.Sahara, Somalia, Iraq","0.600611544"
12,2017,"248624","Western.Sahara, Somalia, Iraq","0.601730833"
31,1990,"360600","Armenia, Georgia, Uzbekistan","4.978758127"
31,1995,"344070","Armenia, Georgia, Uzbekistan","4.425095165"
31,2000,"327540","Armenia, Georgia, Uzbekistan","4.032382665"
31,2005,"302220","Armenia, Georgia, Uzbekistan","3.53945363"
31,2010,"276901","Armenia, Georgia, Uzbekistan","3.065622123"
31,2015,"264241","Armenia, Georgia, Uzbekistan","2.74750652"
31,2017,"259241","Armenia, Georgia, Uzbekistan","2.637890127"
8,1990,"66013","Greece, Italy, Turkey","2.011699692"
8,1995,"71354","Greece, Italy, Turkey","2.296751317"
8,2000,"76695","Greece, Italy, Turkey","2.456621941"
8,2005,"64739","Greece, Italy, Turkey","2.102476017"
8,2010,"52784","Greece, Italy, Turkey","1.795053604"
8,2015,"52031","Greece, Italy, Turkey","1.779840402"
8,2017,"52484","Greece, Italy, Turkey","1.791148483"
51,1990,"658789","Azerbaijan, Ukraine, Greece","18.6195104"
51,1995,"693999","Azerbaijan, Georgia, Ukraine","21.57056974"
51,2000,"657900","Azerbaijan, Georgia, Syrian.Arab.Republic","21.43284376"
51,2005,"469119","Azerbaijan, Georgia, Syrian.Arab.Republic","15.7356003"
51,2010,"221560","Azerbaijan, Georgia, Syrian.Arab.Republic","7.700245125"
51,2015,"191199","Azerbaijan, Georgia, Syrian.Arab.Republic","6.554757538"
51,2017,"190719","Azerbaijan, Georgia, Syrian.Arab.Republic","6.508181337"
24,1990,"33517","Democratic.Republic.of.the.Congo, Portugal, Sao.Tome.and.Principe","0.275374132"
24,1995,"39813","Democratic.Republic.of.the.Congo, Portugal, Sao.Tome.and.Principe","0.279017568"
24,2000,"46108","Democratic.Republic.of.the.Congo, Portugal, Sao.Tome.and.Principe","0.280446525"
24,2005,"61329","Democratic.Republic.of.the.Congo, Portugal, Sao.Tome.and.Principe","0.313662541"
24,2010,"76549","Democratic.Republic.of.the.Congo, Portugal, Sao.Tome.and.Principe","0.327564598"
24,2015,"632178","Democratic.Republic.of.the.Congo, Portugal, Sao.Tome.and.Principe","2.2691808"
24,2017,"638499","Democratic.Republic.of.the.Congo, Portugal, Sao.Tome.and.Principe","2.143751217"
16,1990,"21283","Samoa, Tonga, Philippines","45.24639653"
16,1995,"23098","Samoa, Tonga, Philippines","43.68994477"
16,2000,"24912","Samoa, Tonga, Philippines","43.30940005"
16,2005,"24233","Samoa, Tonga, Philippines","40.99089956"
16,2010,"23555","Samoa, Tonga, Philippines","42.33693405"
16,2015,"23513","Samoa, Tonga, Philippines","42.33754074"
16,2017,"23561","Samoa, Tonga, Philippines","42.34467389"
32,1990,"1649919","Italy, Paraguay, Spain","5.041039282"
32,1995,"1595069","Paraguay, Italy, Chile","4.558015368"
32,2000,"1540219","Paraguay, Italy, Chile","4.156300331"
32,2005,"1673088","Paraguay, Chile, Italy","4.274025144"
32,2010,"1805957","Paraguay, Chile, Peru","4.380850628"
32,2015,"2086302","Paraguay, Chile, Peru","4.805180552"
32,2017,"2164524","Paraguay, Chile, Peru","4.889254807"
36,1990,"3955213","United.Kingdom, New.Zealand, Italy","23.2093948"
36,1995,"4153330","United.Kingdom, New.Zealand, Italy","22.97609697"
36,2000,"4386250","United.Kingdom, New.Zealand, Italy","23.00580877"
36,2005,"4878030","United.Kingdom, New.Zealand, China","24.10224507"
36,2010,"5882980","United.Kingdom, New.Zealand, China","26.5956735"
36,2015,"6710540","United.Kingdom, New.Zealand, China","28.19607223"
36,2017,"7035560","United.Kingdom, New.Zealand, China","28.7746363"
48,1990,"173212","India, Egypt, Pakistan","34.92663294"
48,1995,"205979","India, Pakistan, Bangladesh","36.54060057"
48,2000,"239361","India, Pakistan, Bangladesh","36.01504031"
48,2005,"404018","India, Bangladesh, Pakistan","45.43775754"
48,2010,"657856","India, Bangladesh, Pakistan","53.01604852"
48,2015,"704137","India, Egypt, Bangladesh","51.32736331"
48,2017,"722649","India, Egypt, Bangladesh","48.41596855"
52,1990,"24024","Saint.Vincent.and.the.Grenadines, Saint.Lucia, United.Kingdom","9.226727707"
52,1995,"26224","Saint.Vincent.and.the.Grenadines, Saint.Lucia, United.Kingdom","9.897380349"
52,2000,"28424","Saint.Vincent.and.the.Grenadines, Saint.Lucia, United.Kingdom","10.53337632"
52,2005,"30624","Guyana, Saint.Vincent.and.the.Grenadines, Saint.Lucia","11.17627523"
52,2010,"32825","Guyana, Saint.Vincent.and.the.Grenadines, United.Kingdom","11.74128748"
52,2015,"34475","Guyana, Saint.Vincent.and.the.Grenadines, United.Kingdom","12.1298163"
52,2017,"34660","Guyana, Saint.Vincent.and.the.Grenadines, United.Kingdom","12.13079984"
60,1990,"15683","United.Kingdom, Canada, Portugal","25.73937305"
60,1995,"16676","United.Kingdom, Canada, Portugal","26.59818808"
60,2000,"17668","United.Kingdom, Canada, Portugal","27.59417755"
60,2005,"18276","United.Kingdom, Canada, Portugal","28.06080147"
60,2010,"18884","United.Kingdom, Canada, Haiti","29.5265495"
60,2015,"19126","United.Kingdom, Canada, Haiti","30.84689451"
60,2017,"18954","United.Kingdom, Canada, Haiti","30.89536912"
